tSNE1,tSNE2,tSNE3,Label
1.746086,-17.333927,-3.2199042,2
1.0764759,-9.7450285,-17.1784,2
-14.223472,5.23743,-2.8866239,1
-10.016028,4.5877147,-1.6118588,1
-6.801954,0.36542892,4.4585805,1
-6.942406,5.36711,-1.2931672,1
-7.701504,-5.3163543,5.7875934,1
6.0496163,-20.58795,7.535165,1
-21.02365,3.9856079,3.4429724,1
-0.32609802,-3.7443523,4.622076,1
-4.3278747,-5.5932107,10.374304,1
3.9225292,-6.4058027,1.741242,1
-8.639573,10.39494,5.690515,1
-8.280951,4.4048023,3.5578964,1
-0.13607879,-1.3533584,1.2864333,1
-5.8046327,-6.615606,7.3296514,1
9.941355,7.920288,-2.1621437,3
15.650399,-7.424814,4.7228775,3
10.906403,9.3643465,-7.2987022,3
-0.2891078,-0.18335426,-16.036362,2
-0.6940361,-13.197187,-12.431919,2
3.5774374,13.1982565,-13.997216,3
2.674718,13.0123005,-13.2533245,3
12.60673,12.982192,-3.7029428,3
8.627796,7.309468,-1.0525233,3
3.7998135,14.179344,-13.175428,3
-1.4463166,10.64001,-10.33825,3
-17.739634,0.9329486,0.9223746,1
-14.092463,-3.7109344,-2.5799205,1
-19.80835,2.5868742,-2.6022618,1
-5.5244956,3.6268497,4.9397655,1
-0.06538852,-1.3298048,8.219607,1
-4.855209,1.7726804,12.682771,1
-4.8469234,0.048779726,4.4550204,1
1.1929836,-10.617304,7.0054793,1
-1.1613578,-4.4141536,6.88377,1
-24.677948,2.1796055,-3.2016494,1
-20.769192,5.7043633,0.44404206,1
-5.7138395,-1.5158858,11.816658,1
-0.2796723,-15.006148,9.303185,1
3.564366,-13.664321,4.678444,1
-1.4221222,-14.1849575,-5.3579636,1
-1.3899885,-3.709153,13.411395,1
-1.8493358,-7.593604,13.932903,1
-4.7955356,-2.0199814,2.7566917,1
0.45749265,-13.794499,5.8342547,1
-3.7183456,-3.8637242,11.250215,1
5.057176,-7.8561497,7.2906294,1
1.2286305,-16.322733,-5.1678305,2
1.0412736,-21.145784,2.8915188,1
-6.3867607,1.3179747,5.0362573,1
0.8882974,-12.701789,13.364915,1
0.72244686,-2.635347,10.305342,1
-0.8793327,3.7407565,-14.856259,3
-0.13284065,7.3927774,-18.756277,3
0.2132797,-18.131971,-0.5419771,1
-0.7439106,1.2721082,-17.954298,2
-3.805555,0.8105598,13.365152,1
-3.323295,-0.7228189,6.15735,1
-8.107194,1.7204722,9.898292,1
-22.657343,4.4412785,-9.495692,1
-18.708467,-1.2188011,-1.4989395,1
-2.2153466,-1.0071778,0.76901907,1
-17.134333,5.831084,4.859125,1
-18.456226,-1.9621094,4.484063,1
-8.945254,2.2596319,9.081336,1
-2.9450238,-2.5206351,7.8587804,1
-8.489524,-6.171361,7.0118103,1
-8.186901,4.3189926,3.731013,1
-12.759075,4.0729284,7.7817316,1
-2.481532,4.0628047,-17.813862,3
11.598237,6.619941,3.9922593,3
13.2358675,6.4512424,5.014632,3
7.316935,12.228944,-1.8083045,3
